block_identifier,type_code,theme_path,title,page_groups,sort_order
em0144-jewerly-main-slideshow,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewerly Store  - Main Slideshow","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:11:""content.top"";}}}",1
em0144-main-megamenu,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewelry Store - Main Menu","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""topNavigation"";}}}",0
em0144-jewelry-top-banners,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0131 Everything - Jewelry Store - Top Banners","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:11:""content.top"";}}}",2
em0144-jewelry-area-main01-new-arrivals-grid12,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewelry Store - Area Main 01 - New Arrivals - Grid 12","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:4:""main"";}}}",2
em0144-jewelry-area-main02-banner,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewelry Store - Area Main 02 - Banner","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:4:""main"";}}}",3
em0144-jewelry-area-main03-best-seller-grid00,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewelry Store - Area Main 03 - Best Seller - Grid 00","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:4:""main"";}}}",4
em0144-jewelry-area03-parallax-ads,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0131 Everything - Jewelry Store - Area03 - Parallax Ads","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:28:""before.page.bottom.container"";}}}",5
em0144-jewelry-area04-from-our-blog-ads10,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewelry  Store - Area 04 - From Our Blog - Ads 10","a:1:{i:0;a:2:{s:10:""page_group"";s:5:""pages"";s:5:""pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:15:""cms_index_index"";s:5:""block"";s:11:""page.bottom"";}}}",6
em0144-jewelry-footer-banners-slider,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewelry Store - Footer Banner Slider","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""footer.area.1"";}}}",1
em0144-jewelry-area-footer01-information-footer07,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewelry Store - Area Footer 01 - Information - Footer 07","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""footer.area.1"";}}}",2
em0144-fashion-area-footer-inner-payment,cms_static_block,frontend/Emthemes/everything_jewelry,"EM0144 Everything - Jewelry Store - Footer Inner - Payment","a:1:{i:0;a:2:{s:10:""page_group"";s:9:""all_pages"";s:9:""all_pages"";a:3:{s:3:""for"";s:3:""all"";s:13:""layout_handle"";s:7:""default"";s:5:""block"";s:13:""footer.area.2"";}}}",0
